side,input,coef_std,coef_raw,window,n
D,age3,-7.665525076126203,-0.0007411001438777476,2007-2007,11271
O,poss_pct,0.8587154400806724,4.747624988215144,2008-2008,11256
O,poss_pct2,0.547836081048783,3.238840619648687,2008-2008,11256
O,gs_pct,-1.5942921134912402,-4.106791225071991,2008-2008,11256
O,gs_pct2,1.6720022735122315,3.8797338890732096,2008-2008,11256
O,age,10.727159779689616,2.549179568999593,2008-2008,11256
O,age2,-19.11822183465316,-0.08040999949455391,2008-2008,11256
O,age3,8.54753569108028,0.0008258317813148541,2008-2008,11256
D,poss_pct,-0.5981406462628898,-3.3048535352589474,2008-2008,11266
D,poss_pct2,1.265751546261224,7.481922391752115,2008-2008,11266
D,gs_pct,-0.3836602893782183,-0.9879042764701328,2008-2008,11266
D,gs_pct2,-0.4656245485975792,-1.0802757163353525,2008-2008,11266
D,age,-8.371681302878029,-1.9891573095768247,2008-2008,11266
D,age2,15.394668648508429,0.06473860705283987,2008-2008,11266
D,age3,-7.251318077087517,-0.0007004680916185617,2008-2008,11266
O,poss_pct,0.8006737399493296,4.421772467211179,2009-2009,11263
O,poss_pct2,0.6128418545373973,3.6160307723684104,2009-2009,11263
O,gs_pct,-1.6011023198962326,-4.120619367224634,2009-2009,11263
O,gs_pct2,1.6748993959111929,3.8823872914292203,2009-2009,11263
O,age,9.872454507826893,2.3497847358060215,2009-2009,11263
O,age2,-17.494696819904178,-0.07368670307695732,2009-2009,11263
O,age3,7.765258520140009,0.0007511873838571054,2009-2009,11263
D,poss_pct,-0.569452565382218,-3.142953229823634,2009-2009,11272
D,poss_pct2,1.2410999648915406,7.32192519934517,2009-2009,11272
D,gs_pct,-0.332689351093585,-0.8558828193135019,2009-2009,11272
D,gs_pct2,-0.5265188447277233,-1.2202689339125943,2009-2009,11272
D,age,-7.731318812454365,-1.8399020070950465,2009-2009,11272
D,age2,13.98366495723507,0.058888589823699676,2009-2009,11272
D,age3,-6.478678984574674,-0.0006266081350767269,2009-2009,11272
O,poss_pct,0.8498810485103702,4.689642620680563,2010-2010,11259
O,poss_pct2,0.5744192876623472,3.384323094365751,2010-2010,11259
O,gs_pct,-1.6201832024299594,-4.174023214969475,2010-2010,11259
O,gs_pct2,1.6984198191749675,3.940062780571763,2010-2010,11259
O,age,11.167628718748514,2.658669409458382,2010-2010,11259
O,age2,-20.0330123095674,-0.08441676181579147,2010-2010,11259
O,age3,9.018559080209448,0.0008730013676257974,2010-2010,11259
D,poss_pct,-0.5883679049475349,-3.2446770589678082,2010-2010,11268
D,poss_pct2,1.278245738455302,7.529966678811398,2010-2010,11268
D,gs_pct,-0.3616258497086184,-0.9313033225994893,2010-2010,11268
D,gs_pct2,-0.5089473934076439,-1.1805026539579941,2010-2010,11268
D,age,-7.545998806643082,-1.7962762314296088,2010-2010,11268
D,age2,13.750638853856312,0.0579363452075999,2010-2010,11268
D,age3,-6.425664820804002,-0.00062192117890905,2010-2010,11268
O,poss_pct,0.8093556219768845,4.465770239304567,2011-2011,11246
O,poss_pct2,0.6066591591020595,3.572221788417444,2011-2011,11246
O,gs_pct,-1.6027471371350266,-4.1283120998348,2011-2011,11246
O,gs_pct2,1.677501927926784,3.891192916851797,2011-2011,11246
O,age,10.823046465668243,2.5762720230310108,2011-2011,11246
O,age2,-19.39014961901742,-0.08172712575105531,2011-2011,11246
O,age3,8.711789023686906,0.0008438502731767843,2011-2011,11246
D,poss_pct,-0.6435679097566925,-3.5487812395075222,2011-2011,11256
D,poss_pct2,1.327892491357317,7.8178244647392825,2011-2011,11256
D,gs_pct,-0.39472602138794094,-1.0163404384942696,2011-2011,11256
D,gs_pct2,-0.46724917750219613,-1.0836830091588023,2011-2011,11256
D,age,-7.883601443417179,-1.8763203188961153,2011-2011,11256
D,age2,14.456316965154988,0.060921630057937326,2011-2011,11256
D,age3,-6.796839628146653,-0.0006582381548884067,2011-2011,11256
O,poss_pct,0.8456943853918851,4.657566407567642,2012-2012,11244
O,poss_pct2,0.5765065499857615,3.385869694007335,2012-2012,11244
O,gs_pct,-1.6085380733190202,-4.144790509598508,2012-2012,11244
O,gs_pct2,1.6810604174869752,3.899944903114508,2012-2012,11244
O,age,10.409146847398237,2.479092120336857,2012-2012,11244
O,age2,-18.465852021551477,-0.07787869909475054,2012-2012,11244
O,age3,8.207728839606153,0.0007956143466683814,2012-2012,11244
D,poss_pct,-0.6113126733553715,-3.3645950049539026,2012-2012,11254
