season,side,component,n_tg,att,p,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,k_loo,k_half,k_mom,k,shrink_mean
2011,def,fg3,2460,44285.0,0.35847352376651237,0.00016558047172711513,0.00013576801281921862,0.00013025048641812086,0.00012627865338572076,-0.00015308488476268418,1313.925839529425,1670.3235919237247,1722.8601548290592,1722.8601548290592,0.011371947684169284
2011,def,fg2,2460,155390.0,0.4871549005727524,0.00021595382709382286,0.00019711496425678368,0.0001980734203115874,0.0001941534568660278,-4.8345864573123785e-05,1137.616554385791,1240.3110336482014,1265.352946326481,1265.352946326481,0.04827574083863768
2011,def,ft,2460,57935.0,0.7614913264865798,2.3087012429077652e-05,1.5559377970273957e-05,5.9381966577495614e-05,3.5357816566080026e-05,-0.00011565783252589178,7460.013026391877,2900.365605720128,4871.042111424269,4871.042111424269,0.005278599388506835
2012,off,fg3,1980,36369.0,0.34878605405702656,0.00031552601512319567,0.00027107063545770506,0.00026550418121743733,0.00026290871134017314,-0.00019393515714508688,679.1835881277761,807.1439406957127,815.1121733724209,815.1121733724209,0.02412678544241617
2012,off,fg2,1980,124768.0,0.4768289946140036,0.0002736909093562928,0.00025260781182696396,0.00022288545725364088,0.0002500702216233684,-6.139033034272447e-05,895.7329558533555,1099.9101074096673,980.3405045048992,980.3405045048992,0.0613183401533837
2012,off,ft,1980,43076.0,0.7511143095923484,0.0008700905691446043,0.000862935755096091,0.0008151825927250328,0.0008324360643954407,-0.00014341144306836924,202.95072330423642,216.62080609179026,212.13101870632906,212.13101870632906,0.1014027148632135
2012,def,fg3,1980,36369.0,0.34878605405702656,0.0001234497808178488,7.216587139309573e-05,4.238530913925985e-05,7.597360771939327e-05,-0.00019540542144295725,1735.9292959396387,5055.999247166826,2820.717582486583,2820.717582486583,0.007103681423963477
2012,def,fg2,1980,124768.0,0.4768289946140036,0.00024736929673490243,0.00022767188430524322,0.00021522716796753508,0.00022590066570738013,-6.186455075977927e-05,991.0444443338835,1139.0474982455933,1085.2290605706514,1085.2290605706514,0.05572702602532688
2012,def,ft,1980,43076.0,0.7511143095923484,-1.9682086735812643e-05,-2.1286893498554172e-05,1.2650366942935836e-05,5.560297732592077e-06,-0.00015728147353128512,1000000.0,13958.923969924865,31758.28325037772,31758.28325037772,0.0007600721840306116
2013,off,fg3,2458,48766.0,0.3588360743140713,0.0002462352164549731,0.0002074829064081556,0.00020235398753563454,0.00019850833010417817,-0.0001427304982588385,886.2171503734463,1078.3966973217507,1099.2882350770528,1099.2882350770528,0.01926810455122991
2013,off,fg2,2458,151586.0,0.4830459277241962,0.00045372333590875996,0.00043758438944822544,0.0004453149902226826,0.00042972157502505225,-4.836456792515027e-05,540.6315462620478,550.8396394760144,570.8280964325025,570.8280964325025,0.09911281900784538
2013,off,ft,2458,52790.0,0.7513733661678348,0.0009547484707683054,0.0009544942948183269,0.000955710430301075,0.0009164184009330144,-0.00011507588455189079,184.85338132827079,184.66731924639376,192.58504953614235,192.58504953614235,0.10932037882006869
